fetched_at,source,source_url,fund_code,etf_code,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2330,台積電,NTD,12680000.0,30051600000.0,17.45
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2303,聯電,NTD,77800000.0,9180400000.0,5.33
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,3017,奇鋐,NTD,3450000.0,8797500000.0,5.11
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2383,台光電,NTD,1495000.0,7445100000.0,4.32
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2454,聯發科,NTD,1795000.0,7018450000.0,4.08
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,3037,欣興,NTD,7600000.0,6574000000.0,3.82
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,6223,旺矽,NTD,1000000.0,5805000000.0,3.37
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2344,華邦電,NTD,40000000.0,5720000000.0,3.32
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2345,智邦,NTD,2307000.0,5386845000.0,3.13
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2308,台達電,NTD,3040000.0,4803200000.0,2.79
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,3711,日月光投控,NTD,6400000.0,3904000000.0,2.27
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,3653,健策,NTD,1030000.0,3883100000.0,2.25
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,6669,緯穎,NTD,600000.0,3555000000.0,2.06
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2327,國巨*,NTD,6000000.0,3312000000.0,1.92
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,4958,臻鼎-KY,NTD,6154000.0,2593911000.0,1.51
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,5274,信驊,NTD,158500.0,2532037500.0,1.47
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,3533,嘉澤,NTD,1240000.0,2486200000.0,1.44
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,6488,環球晶,NTD,2600000.0,2251600000.0,1.31
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,3189,景碩,NTD,3217000.0,2245466000.0,1.3
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,3443,創意,NTD,510000.0,2134350000.0,1.24
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,3665,貿聯-KY,NTD,1010000.0,2115950000.0,1.23
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,6274,台燿,NTD,1680000.0,2049600000.0,1.19
