fetched_at,source,source_url,fund_code,etf_code,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct,position,contract_month
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2330,台積電,NTD,11864000.0,29244760000.0,10.25,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2383,台光電,NTD,4750000.0,25531250000.0,8.95,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2454,聯發科,NTD,5186000.0,23985250000.0,8.41,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,3037,欣興,NTD,20300000.0,20157900000.0,7.07,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,3017,奇鋐,NTD,5949000.0,20107620000.0,7.05,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,6669,緯穎,NTD,6490561.0,15090554325.0,5.29,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,6223,旺矽,NTD,2546000.0,14295790000.0,5.01,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2327,國巨*,NTD,24987000.0,14117655000.0,4.95,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,3653,健策,NTD,2447000.0,14094720000.0,4.94,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2345,智邦,NTD,6464000.0,13024960000.0,4.57,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2308,台達電,NTD,7240000.0,12995800000.0,4.55,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2303,聯電,NTD,89118000.0,12610197000.0,4.42,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,3711,日月光投控,NTD,16811000.0,10759040000.0,3.77,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,8046,南電,NTD,9426000.0,10462860000.0,3.67,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,3665,貿聯-KY,NTD,4280848.0,8454674800.0,2.96,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,6274,台燿,NTD,5398000.0,7260310000.0,2.54,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,GD,TX,台指期貨,NTD,679.0,6406772400.0,2.25,B,2026/09
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,6805,富世達,NTD,1731000.0,3972645000.0,1.39,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,5274,信驊,NTD,207900.0,3867979500.0,1.36,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2449,京元電子,NTD,12818450.0,3460981500.0,1.21,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,6510,精測,NTD,637000.0,2299570000.0,0.81,,
