fetched_at,source,source_url,fund_code,etf_code,query_date,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,MU US,MICRON TECHNOLOGY INC,USD,78500.0,59824850.0,4.86
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,SNDK US,SANDISK CORP,USD,38000.0,58605120.0,4.77
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),USD,122000.0,54849980.0,4.46
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,LITE US,LUMENTUM HOLDINGS INC,USD,55000.0,53047500.0,4.31
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,BE US,BLOOM ENERGY CORP- A,USD,170000.0,52339600.0,4.26
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,009150 KS,Samsung Electro-Mechanics co(009150 ks),KRW,60000.0,72720000000.0,3.93
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,6787 JP,MEIKO ELECTRONICS CO LTD,JPY,175000.0,7008750000.0,3.58
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,3037,欣興,NTD,1500000.0,1357500000.0,3.49
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,2383,台光電,NTD,248000.0,1163120000.0,2.99
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,2454,聯發科,NTD,315000.0,1118250000.0,2.88
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,285A JP,KIOXIA HOLDINGS CORP,JPY,95000.0,5257300000.0,2.69
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,5706 JP,Mitsui Mining ＆ Smelting Co,JPY,110000.0,5133700000.0,2.62
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,5801 JP,FURUKAWA ELECTRIC CO LTD,JPY,100000.0,4928000000.0,2.52
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,CIEN US,CIENA CORP,USD,52000.0,30535960.0,2.48
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,MRVL US,MARVELL TECHNOLOGY INC,USD,160000.0,30510400.0,2.48
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,4062 JP,IBIDEN CO LTD,JPY,275000.0,4848250000.0,2.48
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,2330,台積電,NTD,400000.0,892000000.0,2.3
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,WDC US,WESTERN DIGITAL CORP,USD,57000.0,27728220.0,2.25
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,COHR US,COHERENT INC,USD,68000.0,25704000.0,2.09
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,6515,穎崴,NTD,80000.0,760800000.0,1.96
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,5274,信驊,NTD,46000.0,756240000.0,1.95
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,IFX GY,INFINEON TECHNOLOGIES AG,EUR,300000.0,20400000.0,1.93
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,7826 JP,FURUYA METAL CO LTD,JPY,374300.0,3529649000.0,1.8
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,6997 JP,NIPPON CHEMI-CON CORP,JPY,1200000.0,3507600000.0,1.79
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,GLW US,CORNING INC,USD,112500.0,21587625.0,1.76
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,6981 JP,MURATA MANUFACTURING CO LTD,JPY,500000.0,3363500000.0,1.72
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,GEV US,GE VERNOVA INC,USD,19000.0,19832580.0,1.61
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,2308,台達電,NTD,307000.0,623210000.0,1.6
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,AIXA GY,AIXTRON SE,EUR,305000.0,15963700.0,1.51
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,3711,日月光投控,NTD,1100000.0,561000000.0,1.44
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,GOOGL US,ALPHABET INC-CL A(Alphabet公司),USD,44000.0,17057040.0,1.39
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,3017,奇鋐,NTD,215000.0,536425000.0,1.38
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,VSH US,VISHAY INTERTECHNOLOGY INC,USD,400000.0,16868000.0,1.37
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,NVDA US,NVIDIA CORP(輝達公司),USD,75000.0,16463250.0,1.34
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,6223,旺矽,NTD,90000.0,508500000.0,1.31
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,ENR GY,SIEMENS ENERGY AG,EUR,75000.0,13021500.0,1.23
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,SOI FP,S.O.I.T.E.C.,EUR,72000.0,11995200.0,1.13
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,AXTI US,AXT INC,USD,90000.0,10891800.0,0.89
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,HOT GY,HOCHTIEF AG,EUR,20000.0,9416000.0,0.89
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,NOK US,NOKIA CORP-SPON ADR,USD,750000.0,10635000.0,0.86
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,AVGO US,BROADCOM LTD,USD,25000.0,10364250.0,0.84
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,603256 CH,GRACE FABRIC TECHNOLOGY CO-A,CNH,450000.0,65196000.0,0.78
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,6274,台燿,NTD,230000.0,304750000.0,0.78
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,7769,鴻勁,NTD,36000.0,276300000.0,0.71
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,2360,致茂,NTD,110000.0,249700000.0,0.64
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,6869 HK,YANGTZE OPTICAL FIBRE AND-H,HKD,260000.0,55952000.0,0.58
2026-05-26T08:25:03+08:00,ezmoney_pcf,https://www.ezmoney.com.tw/ETF/Transaction/GetPCF,61YTW,00988A,2026-05-25,2026-05-21T00:00:00,2026-05-22T16:32:29,ST,ARM US,ARM HOLDINGS PLC,USD,18518.0,5522623.14,0.45
