fetched_at,source,source_url,fund_code,etf_code,query_date,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,AMD US,ADVANCED MICRO DEVICES,,51575,,5.50
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,AMAT US,應用材料,,34877,,4.13
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,MU US,美光科技公司,,20305,,3.97
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,MRVL US,Marvell Technology Inc,,68818,,3.26
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,GOOGL US,ALPHABET INC-CL A,,39034,,3.17
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,LITE US,魯門特姆控股公司,,15511,,2.87
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,CRWD US,Crowdstrike控股公司,,56019,,2.86
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,AAPL US,蘋果公司,,39565,,2.77
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,FTNT US,防特網公司,,69581,,2.59
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,LRCX US,科林研發股份有限公司,,37221,,2.59
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,4062 JP,揖斐電有限公司,,90748,,2.59
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,AVGO US,博通公司,,26729,,2.56
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,NVDA US,輝達公司,,51353,,2.54
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,TER US,泰瑞達公司,,28451,,2.36
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,HWM US,Howmet航太公司,,36388,,2.34
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,META US,Meta平台公司,,17085,,2.31
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,PANW US,Palo Alto Networks Inc,,25887,,2.26
2026-08-11T20:00:11+08:00,capital_buyback,https://www.capitalfund.com.tw/CFWeb/api/etf/buyback,502,00997A,2026-08-11,2026-08-10,,ST,2330,台積電,,132000,,2.22
