stock_code,stock_name,status,share_status,weight_status,old_weight_pct,new_weight_pct,weight_change_pct,old_shares,new_shares,share_change,old_market_value,new_market_value,market_value_change,old_as_of_datetime,new_as_of_datetime
8046,南電,股數減少,股數減少,權重降低,4.35,3.53,-0.82,12658000.0,11398000.0,-1260000.0,11822572000.0,10075832000.0,-1746740000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
2383,台光電,股數不變,股數不變,權重增加,8.69,9.12,0.43,4723000.0,4723000.0,0.0,23638615000.0,26000115000.0,2361500000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
2368,金像電,股數增加,股數增加,權重增加,3.43,3.83,0.4,7018000.0,7669000.0,651000.0,9333940000.0,10928325000.0,1594385000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
2454,聯發科,股數不變,股數不變,權重增加,6.05,6.35,0.3,4263000.0,4263000.0,0.0,16455180000.0,18096435000.0,1641255000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
2308,台達電,股數不變,股數不變,權重增加,5.06,5.28,0.22,6572000.0,6572000.0,0.0,13768340000.0,15049880000.0,1281540000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
2330,台積電,股數不變,股數不變,權重降低,9.66,9.44,-0.22,11657000.0,11657000.0,0.0,26286535000.0,26927670000.0,641135000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
2327,國巨*,股數不變,股數不變,權重增加,4.23,4.44,0.21,18313000.0,18313000.0,0.0,11518877000.0,12654283000.0,1135406000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
2404,漢唐,股數增加,股數增加,權重增加,0.59,0.75,0.16,1394000.0,1715000.0,321000.0,1610070000.0,2135175000.0,525105000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
3711,日月光投控,股數不變,股數不變,權重增加,3.09,3.25,0.16,14998000.0,14998000.0,0.0,8413878000.0,9253766000.0,839888000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
6669,緯穎,股數不變,股數不變,權重降低,4.76,4.61,-0.15,2344000.0,2344000.0,0.0,12950600000.0,13149840000.0,199240000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
5274,信驊,股數不變,股數不變,權重降低,2.76,2.62,-0.14,422000.0,422000.0,0.0,7503160000.0,7479950000.0,-23210000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
2303,聯電,股數不變,股數不變,權重增加,2.77,2.9,0.13,66190000.0,66190000.0,0.0,7545660000.0,8273750000.0,728090000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
3036,文曄,移除,移除,移除,0.13,0.0,-0.13,1200000.0,0.0,-1200000.0,346800000.0,0.0,-346800000.0,2026-05-22T00:00:00+08:00,
2345,智邦,股數不變,股數不變,權重降低,5.66,5.55,-0.11,6231000.0,6231000.0,0.0,15390570000.0,15826740000.0,436170000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
6274,台燿,股數不變,股數不變,權重增加,2.22,2.33,0.11,4151000.0,4151000.0,0.0,6039705000.0,6641600000.0,601895000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
3037,欣興,股數不變,股數不變,權重降低,3.86,3.76,-0.1,10822000.0,10822000.0,0.0,10497340000.0,10713780000.0,216440000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
6223,旺矽,股數不變,股數不變,權重降低,4.81,4.72,-0.09,2169000.0,2169000.0,0.0,13089915000.0,13447800000.0,357885000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
3665,貿聯-KY,股數不變,股數不變,權重增加,3.85,3.93,0.08,4703848.0,4703848.0,0.0,10466061800.0,11218677480.0,752615680.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
6805,富世達,股數不變,股數不變,權重降低,1.16,1.08,-0.08,1761000.0,1761000.0,0.0,3160995000.0,3072945000.0,-88050000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
3017,奇鋐,股數增加,股數增加,權重降低,4.61,4.55,-0.06,4925000.0,5041000.0,116000.0,12534125000.0,12980575000.0,446450000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
3653,健策,股數不變,股數不變,權重降低,3.05,3.0,-0.05,2267000.0,2267000.0,0.0,8297220000.0,8546590000.0,249370000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
3217,優群,股數減少,股數減少,權重降低,0.07,0.03,-0.04,874000.0,382000.0,-492000.0,180918000.0,76400000.0,-104518000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
6515,穎崴,股數不變,股數不變,權重降低,1.41,1.37,-0.04,442000.0,442000.0,0.0,3845400000.0,3911700000.0,66300000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
2449,京元電子,股數不變,股數不變,權重增加,1.41,1.44,0.03,12919000.0,12919000.0,0.0,3824024000.0,4095323000.0,271299000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
3533,嘉澤,股數不變,股數不變,權重降低,0.73,0.7,-0.03,772000.0,772000.0,0.0,1972460000.0,1995620000.0,23160000.0,2026-05-22T00:00:00+08:00,2026-05-25T00:00:00+08:00
