stock_code,stock_name,status,share_status,weight_status,old_weight_pct,new_weight_pct,weight_change_pct,old_shares,new_shares,share_change,old_market_value,new_market_value,market_value_change,old_as_of_datetime,new_as_of_datetime
6669,緯穎,股數減少,股數減少,權重降低,5.39,4.89,-0.5,2708000.0,2496000.0,-212000.0,16275080000.0,14801280000.0,-1473800000.0,2026-08-10,2026-08-11
2383,台光電,股數不變,股數不變,權重增加,8.51,8.9,0.39,4863000.0,4863000.0,0.0,25725270000.0,26916705000.0,1191435000.0,2026-08-10,2026-08-11
2327,國巨*,股數不變,股數不變,權重增加,4.82,5.19,0.37,25437000.0,25437000.0,0.0,14575401000.0,15694629000.0,1119228000.0,2026-08-10,2026-08-11
6274,台燿,股數不變,股數不變,權重增加,2.66,2.92,0.26,5499000.0,5499000.0,0.0,8028540000.0,8825895000.0,797355000.0,2026-08-10,2026-08-11
1590,亞德客-KY,股數減少,股數減少,權重降低,0.12,0.0,-0.12,228000.0,1000.0,-227000.0,357960000.0,1560000.0,-356400000.0,2026-08-10,2026-08-11
2454,聯發科,股數不變,股數不變,權重增加,7.14,7.24,0.1,5448000.0,5448000.0,0.0,21574080000.0,21900960000.0,326880000.0,2026-08-10,2026-08-11
6510,精測,股數增加,股數增加,權重增加,0.25,0.33,0.08,261000.0,361000.0,100000.0,742545000.0,1010800000.0,268255000.0,2026-08-10,2026-08-11
2345,智邦,股數不變,股數不變,權重降低,4.6,4.53,-0.07,6419000.0,6419000.0,0.0,13897135000.0,13704565000.0,-192570000.0,2026-08-10,2026-08-11
6223,旺矽,股數不變,股數不變,權重增加,5.03,5.1,0.07,2443000.0,2443000.0,0.0,15207675000.0,15427545000.0,219870000.0,2026-08-10,2026-08-11
3653,健策,股數不變,股數不變,權重降低,3.25,3.19,-0.06,2375000.0,2375000.0,0.0,9820625000.0,9654375000.0,-166250000.0,2026-08-10,2026-08-11
