stock_code,stock_name,etf_code,fund_code,current_increase_streak,latest_share_change,streak_total_share_change,latest_shares,latest_weight_pct,streak_start_date,latest_as_of_date,snapshot_count
1303,南亞,00403A,63YTW,2,1500000.0,2500000.0,13500000.0,2.0,2026-09-01,2026-09-02,47
3450,聯鈞,00403A,63YTW,2,240000.0,700000.0,1100000.0,0.41,2026-09-01,2026-09-02,47
6669,緯穎,00403A,63YTW,1,1387956.0,1387956.0,2087956.0,3.39,2026-09-02,2026-09-02,47
2882,國泰金,00403A,63YTW,1,1200000.0,1200000.0,1200000.0,0.08,2026-09-02,2026-09-02,47
2301,光寶科,00403A,63YTW,1,300000.0,300000.0,300000.0,0.06,2026-09-02,2026-09-02,47
5274,信驊,00403A,63YTW,1,40000.0,40000.0,189500.0,2.09,2026-09-02,2026-09-02,47
1560,中砂,00403A,63YTW,0,0.0,0.0,300000.0,0.13,,2026-09-02,47
1717,長興,00403A,63YTW,0,0.0,0.0,3100000.0,0.16,,2026-09-02,47
2049,上銀,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
2059,川湖,00403A,63YTW,0,0.0,0.0,35000.0,0.3,,2026-09-02,47
2303,聯電,00403A,63YTW,0,0.0,0.0,50000000.0,3.92,,2026-09-02,47
2313,華通,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
2317,鴻海,00403A,63YTW,0,0.0,0.0,3200000.0,0.5,,2026-09-02,47
2327,國巨*,00403A,63YTW,0,0.0,0.0,8000000.0,2.69,,2026-09-02,47
2345,智邦,00403A,63YTW,0,0.0,0.0,2307000.0,3.07,,2026-09-02,47
2360,致茂,00403A,63YTW,0,0.0,0.0,1000000.0,1.23,,2026-09-02,47
2368,金像電,00403A,63YTW,0,0.0,0.0,1800000.0,0.99,,2026-09-02,47
2383,台光電,00403A,63YTW,0,0.0,0.0,1600000.0,5.43,,2026-09-02,47
2404,漢唐,00403A,63YTW,0,0.0,0.0,250000.0,0.16,,2026-09-02,47
2449,京元電子,00403A,63YTW,0,0.0,0.0,1700000.0,0.29,,2026-09-02,47
2454,聯發科,00403A,63YTW,0,0.0,0.0,2110000.0,5.62,,2026-09-02,47
2455,全新,00403A,63YTW,0,0.0,0.0,386000.0,0.13,,2026-09-02,47
2481,強茂,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
2891,中信金,00403A,63YTW,0,0.0,0.0,11801000.0,0.39,,2026-09-02,47
3008,大立光,00403A,63YTW,0,0.0,0.0,810000.0,3.94,,2026-09-02,47
3017,奇鋐,00403A,63YTW,0,0.0,0.0,3150000.0,6.49,,2026-09-02,47
3036,文曄,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
3037,欣興,00403A,63YTW,0,0.0,0.0,8460000.0,5.13,,2026-09-02,47
3044,健鼎,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
3081,聯亞,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
3105,穩懋,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
3189,景碩,00403A,63YTW,0,0.0,0.0,3400000.0,1.79,,2026-09-02,47
3211,順達,00403A,63YTW,0,0.0,0.0,2000000.0,0.49,,2026-09-02,47
3264,欣銓,00403A,63YTW,0,0.0,0.0,700000.0,0.1,,2026-09-02,47
3443,創意,00403A,63YTW,0,0.0,0.0,650000.0,2.39,,2026-09-02,47
3529,力旺,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
3533,嘉澤,00403A,63YTW,0,0.0,0.0,250000.0,0.27,,2026-09-02,47
3583,辛耘,00403A,63YTW,0,0.0,0.0,800000.0,0.38,,2026-09-02,47
3653,健策,00403A,63YTW,0,0.0,0.0,1115000.0,4.01,,2026-09-02,47
3665,貿聯-KY,00403A,63YTW,0,0.0,0.0,1293000.0,1.75,,2026-09-02,47
4958,臻鼎-KY,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
4966,譜瑞-KY,00403A,63YTW,0,0.0,0.0,220000.0,0.08,,2026-09-02,47
4979,華星光,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
6147,頎邦,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
6196,帆宣,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-09-02,47
6223,旺矽,00403A,63YTW,0,0.0,0.0,1100000.0,3.62,,2026-09-02,47
6239,力成,00403A,63YTW,0,0.0,0.0,5360000.0,0.93,,2026-09-02,47
