stock_code,stock_name,etf_code,fund_code,current_increase_streak,latest_share_change,streak_total_share_change,latest_shares,latest_weight_pct,streak_start_date,latest_as_of_date,snapshot_count
SPCX US,SPACE EXPLORATION TECHN-CL A,00988A,61YTW,6,30000.0,300000.0,300000.0,2.32,2026-08-14,2026-08-21,38
CRCL US,CIRCLE INTERNET GROUP INC,00988A,61YTW,1,200000.0,200000.0,200000.0,0.96,2026-08-21,2026-08-21,38
AEM US,AGNICO EAGLE MINES LTD,00988A,61YTW,1,60000.0,60000.0,60000.0,0.73,2026-08-21,2026-08-21,38
095340 KS,ISC CO LTD,00988A,61YTW,1,50000.0,50000.0,50000.0,0.35,2026-08-21,2026-08-21,38
000660 KS,SK HYNIX INC,00988A,61YTW,0,0.0,0.0,15000.0,1.06,,2026-08-21,38
009150 KS,Samsung Electro-Mechanics co(009150 ks),00988A,61YTW,0,0.0,0.0,70000.0,4.05,,2026-08-21,38
010120 KS,LS ELECTRIC CO LTD,00988A,61YTW,0,0.0,0.0,30000.0,0.47,,2026-08-21,38
2303,聯電,00988A,61YTW,0,0.0,0.0,2500000.0,0.55,,2026-08-21,38
2308,台達電,00988A,61YTW,0,0.0,0.0,720000.0,2.27,,2026-08-21,38
2327,國巨*,00988A,61YTW,0,0.0,0.0,1550000.0,1.57,,2026-08-21,38
2330,台積電,00988A,61YTW,0,0.0,0.0,650000.0,2.78,,2026-08-21,38
2360,致茂,00988A,61YTW,0,0.0,0.0,100000.0,0.37,,2026-08-21,38
2383,台光電,00988A,61YTW,0,0.0,0.0,445000.0,4.8,,2026-08-21,38
2454,聯發科,00988A,61YTW,0,0.0,0.0,300000.0,2.0,,2026-08-21,38
285A JP,KIOXIA HOLDINGS CORP,00988A,61YTW,0,0.0,0.0,180000.0,3.47,,2026-08-21,38
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,00988A,61YTW,0,0.0,0.0,1749879.0,1.67,,2026-08-21,38
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,00988A,61YTW,0,0.0,0.0,291988.0,1.03,,2026-08-21,38
3017,奇鋐,00988A,61YTW,0,0.0,0.0,275000.0,1.48,,2026-08-21,38
3037,欣興,00988A,61YTW,0,0.0,0.0,2600000.0,5.34,,2026-08-21,38
