stock_code,stock_name,holding_fund_count,holding_funds,average_weight,total_weight,max_weight,same_share_increase_count,same_share_decrease_count,active_increase_streak_fund_count,is_new_consensus
2330,台積電,7,"00403A, 00981A, 00988A, 00991A, 00992A, 00994A, 00997A",8.978,62.846,15.37,0,2,0,False
2383,台光電,7,"00403A, 00981A, 00988A, 00991A, 00992A, 00994A, 00997A",6.083,42.581,9.311,0,1,0,False
3037,欣興,7,"00403A, 00981A, 00988A, 00991A, 00992A, 00994A, 00997A",5.3441,37.409,7.11,0,0,0,False
2454,聯發科,7,"00403A, 00981A, 00988A, 00991A, 00992A, 00994A, 00997A",4.7264,33.085,8.62,0,0,0,False
3017,奇鋐,6,"00403A, 00981A, 00988A, 00991A, 00992A, 00994A",6.3565,38.139,8.37,0,0,0,False
3653,健策,5,"00403A, 00981A, 00991A, 00992A, 00994A",3.0522,15.261,5.05,1,0,1,False
2303,聯電,5,"00403A, 00981A, 00988A, 00991A, 00994A",2.3864,11.932,5.02,1,0,1,False
6223,旺矽,5,"00403A, 00981A, 00991A, 00992A, 00994A",4.1408,20.704,5.04,0,0,0,False
6669,緯穎,5,"00403A, 00981A, 00991A, 00992A, 00994A",3.707,18.535,5.36,0,0,0,False
2345,智邦,5,"00403A, 00981A, 00991A, 00992A, 00994A",3.58,17.9,5.1,0,0,0,False
8046,南電,5,"00403A, 00981A, 00991A, 00992A, 00994A",3.027,15.135,4.365,0,0,0,False
6274,台燿,5,"00403A, 00981A, 00991A, 00992A, 00994A",2.4314,12.157,4.8,0,0,0,False
3665,貿聯-KY,5,"00403A, 00981A, 00991A, 00992A, 00994A",2.0944,10.472,5.41,0,0,0,False
2308,台達電,5,"00403A, 00981A, 00988A, 00991A, 00994A",2.0724,10.362,4.27,0,2,0,False
5274,信驊,5,"00403A, 00981A, 00991A, 00992A, 00994A",1.8456,9.228,3.298,0,1,0,False
3711,日月光投控,5,"00403A, 00981A, 00991A, 00992A, 00994A",1.5874,7.937,3.85,0,0,0,False
2360,致茂,5,"00403A, 00981A, 00991A, 00992A, 00994A",0.5606,2.803,1.4,0,0,0,False
2059,川湖,4,"00403A, 00991A, 00992A, 00994A",4.7045,18.818,7.908,0,0,0,False
3189,景碩,4,"00403A, 00991A, 00992A, 00994A",2.364,9.456,4.256,0,0,0,False
3443,創意,4,"00403A, 00981A, 00992A, 00994A",2.045,8.18,2.58,0,0,0,False
8996,高力,4,"00403A, 00981A, 00992A, 00994A",1.945,7.78,5.12,0,1,0,False
3008,大立光,4,"00403A, 00981A, 00991A, 00992A",1.837,7.348,4.76,0,0,0,False
6515,穎崴,4,"00981A, 00988A, 00992A, 00994A",0.785,3.14,1.38,0,0,0,False
2449,京元電子,4,"00403A, 00981A, 00991A, 00994A",0.6425,2.57,1.23,0,0,0,False
2317,鴻海,4,"00403A, 00981A, 00991A, 00994A",0.1308,0.523,0.51,0,0,0,False
2327,國巨*,3,"00403A, 00981A, 00991A",4.4483,13.345,5.385,0,0,0,False
2408,南亞科,3,"00981A, 00991A, 00994A",3.627,10.881,8.921,0,0,0,False
1303,南亞,3,"00403A, 00992A, 00994A",2.59,7.77,3.21,0,0,0,False
3081,聯亞光電,3,"00991A, 00992A, 00994A",1.6823,5.047,3.197,0,0,0,False
7769,鴻勁,3,"00403A, 00991A, 00994A",1.374,4.122,2.032,0,1,0,False
6805,富世達,3,"00403A, 00981A, 00994A",1.2767,3.83,1.43,0,0,0,False
3231,緯創資通,3,"00991A, 00992A, 00994A",1.2307,3.692,3.24,0,0,0,False
3661,世芯-KY,3,"00981A, 00992A, 00994A",0.82,2.46,2.11,0,0,0,False
6187,萬潤,3,"00981A, 00992A, 00994A",0.5,1.5,1.09,0,0,0,False
2481,強茂,3,"00403A, 00981A, 00994A",0.4267,1.28,0.98,0,0,0,False
2882,國泰金,3,"00403A, 00991A, 00994A",0.197,0.591,0.31,0,0,0,False
5347,世界,3,"00981A, 00991A, 00992A",0.084,0.252,0.25,0,0,0,False
BE US,BLOOM ENERGY CORP- A,2,"00988A, 00997A",2.705,5.41,4.03,1,0,1,False
SPCX US,SPACE EXPLORATION TECHN-CL A,2,"00988A, 00997A",2.375,4.75,3.98,1,0,1,False
LITE US,LUMENTUM HOLDINGS INC,2,"00988A, 00997A",5.275,10.55,6.93,0,0,0,False
MU US,MICRON TECHNOLOGY INC,2,"00988A, 00997A",4.41,8.82,5.12,0,0,0,False
009150 KS,Samsung Electro-Mechanics co(009150 ks),2,"00988A, 00997A",3.385,6.77,4.37,0,0,0,False
STX US,SEAGATE TECHNOLOGY,2,"00988A, 00997A",2.94,5.88,3.19,0,0,0,False
NVDA US,NVIDIA CORP(輝達公司),2,"00988A, 00997A",2.59,5.18,2.83,0,0,0,False
PANW US,PALO ALTO NETWORKS INC,2,"00988A, 00997A",2.57,5.14,3.01,0,0,0,False
SNDK US,SANDISK CORP,2,"00988A, 00997A",2.46,4.92,3.86,0,0,0,False
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),2,"00988A, 00997A",2.44,4.88,2.58,0,0,0,False
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),2,"00988A, 00997A",1.9,3.8,2.24,0,0,0,False
MSFT US,MICROSOFT CORP(微軟公司),2,"00988A, 00997A",1.835,3.67,2.71,0,0,0,False
NOW US,SERVICENOW INC,2,"00988A, 00997A",1.805,3.61,1.81,0,0,0,False
PLTR US,PALANTIR TECHNOLOGIES INC-A,2,"00988A, 00997A",1.73,3.46,2.29,0,0,0,False
HOOD US,ROBINHOOD MARKETS INC - A,2,"00988A, 00997A",1.715,3.43,2.07,0,0,0,False
TER US,TERADYNE INC,2,"00988A, 00997A",1.685,3.37,2.11,0,0,0,False
285A JP,KIOXIA HOLDINGS CORP,2,"00988A, 00997A",1.65,3.3,2.45,0,0,0,False
3026,禾伸堂企,2,"00991A, 00992A",1.6155,3.231,2.721,0,0,0,False
2455,全新,2,"00403A, 00992A",1.445,2.89,2.76,0,0,0,False
6239,力成,2,"00403A, 00994A",1.025,2.05,1.08,0,0,0,False
8299,群聯,2,"00403A, 00991A",1.011,2.022,2.022,0,0,0,False
4979,華星光,2,"00981A, 00988A",0.875,1.75,1.75,0,1,0,False
4958,臻鼎-KY,2,"00981A, 00992A",0.83,1.66,1.19,0,0,0,False
6488,環球晶,2,"00403A, 00981A",0.82,1.64,1.64,0,0,0,False
TWLO US,TWILIO INC - A,2,"00988A, 00997A",0.795,1.59,0.84,0,0,0,False
2404,漢唐,2,"00403A, 00992A",0.285,0.57,0.4,0,0,0,False
3264,欣銓,2,"00403A, 00981A",0.265,0.53,0.42,0,0,0,False
2301,光寶科,2,"00403A, 00992A",0.26,0.52,0.46,0,0,0,False
2357,華碩電腦,2,"00991A, 00992A",0.2355,0.471,0.47,0,0,0,False
2368,金像電,2,"00981A, 00994A",0.22,0.44,0.36,0,0,0,False
8150,南茂,2,"00981A, 00992A",0.215,0.43,0.43,0,0,0,False
2313,華通,2,"00981A, 00991A",0.02,0.04,0.04,0,0,0,False
8358,金居,2,"00403A, 00981A",0.015,0.03,0.03,0,1,0,False
2382,廣達,2,"00981A, 00991A",0.002,0.004,0.004,0,0,0,False
