etf_code,fund_name,stock_code,stock_name,new_weight_pct,new_shares,new_market_value,new_as_of_datetime
00403A,主動統一升級50,2481,強茂,0.06,869000.0,102107500.0,2026-07-31
00403A,主動統一升級50,1717,長興,0.01,200000.0,11980000.0,2026-07-31
00981A,主動統一台股增長,2360,致茂,0.25,348000.0,730800000.0,2026-07-31
00988A,主動統一全球創新,LMT US,LOCKHEED MARTIN CORP,1.4,38000.0,21816180.0,2026-07-31
00988A,主動統一全球創新,SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),0.77,40000.0,11924000.0,2026-07-31
00991A,主動復華未來50,3008,大立光電,0.005,1000.0,4035000.0,2026-07-31
00991A,主動復華未來50,2379,瑞昱半導,0.001,1000.0,683000.0,2026-07-31
00991A,主動復華未來50,1216,統一企業,0.0,1000.0,73800.0,2026-07-31
00991A,主動復華未來50,2412,中華電信,0.0,1000.0,139500.0,2026-07-31
00991A,主動復華未來50,2884,玉山金融,0.0,9000.0,347850.0,2026-07-31
00991A,主動復華未來50,2887,台新新光,0.0,9000.0,323550.0,2026-07-31
00991A,主動復華未來50,2890,永豐金融,0.0,9000.0,365400.0,2026-07-31
00991A,主動復華未來50,2912,統一超商,0.0,1000.0,224000.0,2026-07-31
00991A,主動復華未來50,3045,台灣大哥,0.0,1000.0,112500.0,2026-07-31
00994A,主動第一金台股優,6239,力成,0.52,100000.0,0.0,2026-07-31
00994A,主動第一金台股優,3036,文曄,0.39,90000.0,0.0,2026-07-31
00994A,主動第一金台股優,2317,鴻海,0.22,40000.0,0.0,2026-07-31
00994A,主動第一金台股優,2886,兆豐金,0.12,100000.0,0.0,2026-07-31
00994A,主動第一金台股優,1216,統一,0.08,50000.0,0.0,2026-07-31
00994A,主動第一金台股優,2912,統一超,0.0,1000.0,0.0,2026-07-31
