etf_code,fund_name,stock_code,stock_name,share_status,old_weight_pct,new_weight_pct,weight_change_pct,weight_ratio,share_change,new_as_of_datetime,reason
00991A,主動復華未來50,2308,台達電子,股數增加,0.002,2.074,2.072,1037.0,870000.0,2026-09-21,權重增加 >= 0.30pp；權重放大 >= 1.5x
00988A,主動統一全球創新,INTC US,INTEL CORP,股數增加,2.18,3.0,0.82,1.3761,130000.0,2026-09-18,權重增加 >= 0.30pp
00997A,主動群益美國增長,INTC US,英特爾,股數增加,1.53,2.34,0.81,1.5294,30644.0,2026-09-18,權重增加 >= 0.30pp；權重放大 >= 1.5x
00997A,主動群益美國增長,SNDK US,晟碟公司（德拉瓦州）,股數增加,3.64,4.4,0.76,1.2088,937.0,2026-09-18,權重增加 >= 0.30pp
00988A,主動統一全球創新,2303,聯電,股數增加,2.02,2.56,0.54,1.2673,1500000.0,2026-09-18,權重增加 >= 0.30pp
00994A,主動第一金台股優,2308,台達電,股數增加,1.38,1.89,0.51,1.3696,10000.0,2026-09-21,權重增加 >= 0.30pp
00992A,主動群益台灣科技創新,2454,聯發科,股數增加,1.65,2.14,0.49,1.297,34000.0,2026-09-21,權重增加 >= 0.30pp
00997A,主動群益美國增長,NVDA US,輝達公司,股數增加,2.86,3.28,0.42,1.1469,7500.0,2026-09-18,權重增加 >= 0.30pp
00403A,主動統一升級50,2308,台達電,股數增加,3.08,3.4,0.32,1.1039,80000.0,2026-09-21,權重增加 >= 0.30pp
00994A,主動第一金台股優,3264,欣銓,股數增加,0.34,0.57,0.23,1.6765,35000.0,2026-09-21,權重放大 >= 1.5x
